x,y
46267,48549
44933,47333
41199,47253
36902,48118
32917,50298
30097,54074
28139,59170
54705,63109
75913,56237
75951,53412
76451,49204
74743,48122
71978,45988
68092,44772
65420,44689
62455,46778
61199,48185
53650,50367
46267,48549
